vehicle_id,driver_id,total_trips,total_revenue_usd,avg_duration_min,avg_distance_km
V036417,D036417,5,224.75,42.2,24.926
V047936,D047936,3,71.46,38.666666666666664,20.076666666666664
V037190,D037190,2,45.73,24.0,16.425
V009295,D009295,4,146.68,27.25,18.8425
V042224,D042224,2,63.82,15.0,24.490000000000002
V045852,D045852,2,93.3,48.0,17.37
V010699,D010699,1,102.18,37.0,34.83
V020416,D020416,2,0.0,35.5,3.035
V016881,D016881,4,31.36,48.5,5.157500000000001
V043172,D043172,4,73.24,38.0,21.72
V025943,D025943,5,201.54000000000002,42.8,22.224
V018601,D018601,1,0.0,30.0,31.34
V042226,D042226,6,153.78,39.333333333333336,13.775
V000839,D000839,2,94.64,55.0,23.58
V020662,D020662,4,64.38,34.75,12.055
V023232,D023232,2,50.66,32.0,22.375
V012639,D012639,2,105.49000000000001,54.0,19.465
V013300,D013300,1,0.0,59.0,34.31
V000408,D000408,3,136.22,39.333333333333336,16.993333333333336
V040712,D040712,4,176.06,29.75,17.9525
V003809,D003809,4,159.18,20.75,21.39
V026783,D026783,1,0.0,55.0,8.95
V007433,D007433,2,22.03,33.5,16.860000000000003
V027495,D027495,1,0.0,46.0,18.32
V025465,D025465,2,184.7,64.0,32.53
V010698,D010698,2,48.93,37.5,12.260000000000002
V015488,D015488,2,0.0,18.0,4.445
V011238,D011238,3,133.02,44.666666666666664,18.02
V048635,D048635,1,0.0,15.0,18.15
V024867,D024867,1,0.0,12.0,12.2
V044205,D044205,2,60.78,51.5,7.33
V037947,D037947,5,100.69,34.2,22.806
V034028,D034028,3,71.32,27.0,18.736666666666668
V011495,D011495,2,121.37,42.5,23.335
V017008,D017008,1,49.95,53.0,11.3
V027929,D027929,2,58.79,27.5,19.25
V039570,D039570,5,177.8,37.0,19.445999999999998
V037628,D037628,1,19.42,25.0,4.18
V044579,D044579,3,44.22,27.0,20.156666666666666
V009367,D009367,3,108.35,38.0,19.386666666666667
V048489,D048489,2,64.39,44.5,14.19
V008879,D008879,2,38.78,30.0,12.63
V045669,D045669,3,105.98,35.0,24.956666666666667
V039068,D039068,2,87.81,36.0,7.494999999999999
V032662,D032662,6,336.55999999999995,55.833333333333336,23.224999999999998
V017343,D017343,1,72.43,56.0,33.18
V041333,D041333,1,0.0,25.0,3.12
V018548,D018548,1,81.45,33.0,32.5
V001356,D001356,2,138.68,55.0,32.99
V043689,D043689,4,168.0,19.75,22.165
V035300,D035300,3,68.84,28.333333333333332,18.98
V003594,D003594,2,58.16,10.0,19.8
V016211,D016211,2,0.0,45.5,21.2
V011780,D011780,1,19.82,24.0,3.73
V047343,D047343,1,0.0,44.0,24.81
V001393,D001393,5,191.22,52.6,22.508000000000003
V019433,D019433,3,101.59,58.666666666666664,6.683333333333334
V027271,D027271,1,53.1,65.0,13.43
V038852,D038852,3,243.33999999999997,25.666666666666668,22.203333333333333
V032242,D032242,2,161.17,31.5,25.955
V019838,D019838,1,45.05,57.0,16.47
V037958,D037958,3,138.63,38.0,19.37
V042220,D042220,7,288.09,24.857142857142858,20.912857142857145
V030277,D030277,5,151.98,45.4,14.930000000000001
V024542,D024542,1,66.77,21.0,26.64
V037173,D037173,2,127.24000000000001,51.5,17.869999999999997
V047315,D047315,3,52.54,36.0,8.05
V037571,D037571,6,261.48,25.333333333333332,21.76833333333333
V031789,D031789,3,124.53,26.666666666666668,10.236666666666666
V025312,D025312,3,177.34,40.0,26.49
V000049,D000049,1,0.0,61.0,27.05
V048000,D048000,5,34.56,29.6,6.168
V011084,D011084,1,0.0,57.0,9.77
V012855,D012855,4,150.88,25.75,19.327499999999997
V027854,D027854,3,275.64,61.0,32.94
V041412,D041412,3,154.56,43.0,20.95
V042378,D042378,3,44.87,26.0,15.983333333333334
V033929,D033929,1,0.0,54.0,19.58
V022036,D022036,5,149.95000000000002,31.6,8.038
V026503,D026503,1,0.0,13.0,1.52
V037905,D037905,2,75.58,36.0,18.560000000000002
V006499,D006499,2,119.38999999999999,18.0,20.29
V018830,D018830,1,0.0,27.0,29.19
V012614,D012614,2,0.0,57.5,5.625
V040399,D040399,5,254.54999999999995,44.0,17.118000000000002
V039982,D039982,1,0.0,64.0,26.34
V012914,D012914,2,123.3,11.0,17.14
V028249,D028249,2,55.97,32.0,19.32
V013430,D013430,3,165.66,12.0,19.56
V031370,D031370,3,70.96,39.0,19.866666666666664
V042658,D042658,3,180.78,34.666666666666664,24.933333333333337
V017664,D017664,1,44.45,49.0,18.3
V016837,D016837,1,0.0,57.0,12.84
V009302,D009302,5,329.38,15.4,24.704
V047822,D047822,2,0.0,40.0,23.395
V034892,D034892,1,0.0,26.0,29.7
V046480,D046480,2,75.33,43.0,24.43
V010789,D010789,2,0.0,36.0,26.335
V049551,D049551,2,25.59,51.0,16.52
V039689,D039689,1,79.85,35.0,28.45
V031452,D031452,6,191.52,30.5,15.83
V006421,D006421,2,0.0,36.5,32.55
V005336,D005336,1,75.77,63.0,33.72
V021232,D021232,3,105.27000000000001,41.0,17.223333333333333
V007393,D007393,4,113.0,34.75,14.742500000000001
V021203,D021203,1,56.5,41.0,17.45
V006759,D006759,2,0.0,39.0,12.785
V034890,D034890,5,256.98,54.8,22.516
V043448,D043448,1,64.7,38.0,23.55
V043057,D043057,2,104.21,35.5,17.005
V021314,D021314,3,138.75,30.333333333333332,15.839999999999998
V007355,D007355,1,45.43,25.0,23.47
V032456,D032456,2,32.12,18.0,2.05
V035179,D035179,1,66.64,61.0,21.14
V042230,D042230,4,181.22,35.5,14.1
V047969,D047969,2,110.44,6.0,17.31
V021771,D021771,2,128.92,51.0,19.35
V003420,D003420,3,63.46,13.666666666666666,15.49
V038120,D038120,5,130.72,48.8,15.896
V022187,D022187,3,85.1,35.666666666666664,14.243333333333334
V005402,D005402,3,301.5,46.666666666666664,16.786666666666665
V044843,D044843,3,179.52,60.333333333333336,31.213333333333335
V043395,D043395,1,0.0,19.0,3.72
V029719,D029719,2,83.76,37.0,7.1
V025816,D025816,2,76.22,22.0,11.83
V035632,D035632,2,86.72,22.0,21.46
V049635,D049635,2,0.0,33.5,25.275
V042290,D042290,2,0.0,11.0,14.389999999999999
V014699,D014699,5,346.46999999999997,31.2,20.494
V034921,D034921,3,61.59,23.0,5.796666666666667
V043554,D043554,3,82.64,41.0,21.02333333333333
V026099,D026099,5,149.69,22.6,19.786
V022976,D022976,2,36.62,51.0,15.56
V037594,D037594,1,53.17,27.0,12.34
V013875,D013875,2,0.0,29.5,30.485
V041231,D041231,5,245.29,28.0,19.276
V045308,D045308,4,155.82,56.0,13.1525
V019857,D019857,3,33.17,26.333333333333332,15.043333333333335
V002912,D002912,3,150.85,17.0,22.16
V015273,D015273,3,137.85,48.333333333333336,21.823333333333334
V000568,D000568,2,28.2,43.0,12.08
V044972,D044972,2,30.46,13.0,4.13
V029670,D029670,1,7.59,7.0,1.06
V018370,D018370,3,22.02,21.666666666666668,14.246666666666668
V016342,D016342,1,0.0,7.0,10.74
V006925,D006925,5,144.02,31.2,11.21
V014005,D014005,2,32.05,43.0,19.33
V019321,D019321,3,129.19,15.0,27.5
V043919,D043919,2,102.96,24.0,14.434999999999999
V024987,D024987,6,368.64000000000004,24.333333333333332,26.97666666666667
V027638,D027638,4,203.45,39.25,24.442500000000003
V022206,D022206,2,0.0,41.5,34.065
V000560,D000560,5,211.83999999999997,40.6,20.410000000000004
V006895,D006895,3,159.10000000000002,61.333333333333336,13.446666666666667
V020283,D020283,5,322.88,22.4,28.834000000000003
V002990,D002990,4,97.33,32.75,17.7375
V035828,D035828,1,0.0,63.0,14.99
V001408,D001408,1,73.22,20.0,30.25
V028813,D028813,1,61.65,64.0,23.31
V048781,D048781,5,122.85999999999999,38.4,6.436
V049271,D049271,1,0.0,8.0,16.02
V007994,D007994,4,183.44,40.5,23.2925
V004606,D004606,2,76.76,56.0,16.27
V046378,D046378,3,107.78999999999999,40.666666666666664,18.070000000000004
V039953,D039953,2,126.38,35.5,18.255
V039041,D039041,3,208.01,36.666666666666664,25.48
V028434,D028434,2,160.92,32.0,29.84
V001320,D001320,1,65.47,22.0,30.23
V032798,D032798,2,0.0,16.0,17.14
V010527,D010527,3,65.32,18.333333333333332,17.75
V042421,D042421,4,172.04,38.75,19.675
V034987,D034987,1,31.26,17.0,9.94
V005292,D005292,2,79.33,43.5,8.855
V025345,D025345,1,37.84,65.0,1.57
V004525,D004525,2,33.05,40.0,9.575
V028318,D028318,3,131.39,51.666666666666664,10.136666666666665
V010309,D010309,3,34.75,37.333333333333336,11.71
V005788,D005788,1,0.0,37.0,29.26
V037857,D037857,2,75.18,58.0,24.85
V010242,D010242,6,277.88,21.333333333333332,9.423333333333334
V011141,D011141,5,95.2,49.8,16.014
V014062,D014062,2,42.38,36.0,3.8
V031547,D031547,1,15.94,32.0,3.33
V005852,D005852,4,108.44,42.5,15.385
V039444,D039444,2,75.37,38.0,20.42
V029099,D029099,5,154.05,29.8,18.485999999999997
V024936,D024936,3,101.19,24.0,12.520000000000001
V048919,D048919,3,144.34,44.0,17.916666666666668
V019938,D019938,3,205.17000000000002,22.333333333333332,23.49
V035930,D035930,3,192.17000000000002,37.666666666666664,23.083333333333332
V024246,D024246,2,32.38,37.0,12.44
V015883,D015883,4,151.78,22.5,27.5825
V039997,D039997,1,0.0,7.0,20.93
V022764,D022764,2,64.2,30.5,26.27
V021584,D021584,4,131.55,31.5,22.259999999999998
V030149,D030149,3,92.28,35.666666666666664,17.816666666666666
V002686,D002686,3,91.36,47.0,13.243333333333332
V030520,D030520,1,69.01,62.0,19.37
V040237,D040237,3,106.2,48.333333333333336,8.556666666666667
V045631,D045631,1,0.0,56.0,20.59
V030584,D030584,1,0.0,30.0,23.8
V038887,D038887,1,0.0,34.0,1.56
V047864,D047864,3,108.26,27.333333333333332,30.99
V016052,D016052,1,0.0,39.0,14.62
V033992,D033992,2,64.88,21.0,11.22
V015380,D015380,2,37.76,34.0,12.83
V030267,D030267,1,0.0,24.0,13.08
V033125,D033125,3,49.45,37.0,22.903333333333332
V003441,D003441,1,0.0,25.0,8.76
V025430,D025430,2,91.3,44.5,32.03
V037120,D037120,3,81.09,48.333333333333336,15.18
V046900,D046900,1,0.0,65.0,32.47
V029499,D029499,2,106.17,22.5,19.09
V019511,D019511,3,142.65,37.666666666666664,16.676666666666666
V008466,D008466,5,109.44,23.4,8.228
V037889,D037889,3,112.86,40.666666666666664,13.246666666666668
V019111,D019111,1,0.0,17.0,13.04
V021117,D021117,5,192.73000000000002,23.4,17.378
V042979,D042979,1,0.0,47.0,33.52
V027677,D027677,1,11.44,17.0,1.44
V036719,D036719,2,115.56,61.0,8.44
V010574,D010574,2,0.0,25.0,13.52
V045987,D045987,1,0.0,14.0,29.77
V014602,D014602,2,69.76,18.0,18.01
V029049,D029049,2,80.36,21.0,15.68
V041636,D041636,4,115.77000000000001,22.25,17.2625
V022303,D022303,2,38.25,10.5,18.814999999999998
V036673,D036673,3,68.12,13.333333333333334,15.843333333333334
V032109,D032109,2,31.55,42.0,21.575000000000003
V003973,D003973,2,0.0,26.0,21.435000000000002
V029558,D029558,3,129.29,53.0,24.543333333333333
V043358,D043358,1,0.0,65.0,19.97
V015860,D015860,2,40.11,54.5,20.814999999999998
V030210,D030210,1,0.0,61.0,21.74
V003413,D003413,9,168.75,32.111111111111114,9.313333333333334
V038537,D038537,3,0.0,37.0,19.096666666666668
V042863,D042863,1,41.45,65.0,9.63
V045016,D045016,1,49.32,32.0,12.92
V019533,D019533,5,138.16,29.2,19.814
V048143,D048143,5,223.26,34.4,27.874000000000002
V038178,D038178,1,0.0,60.0,33.54
V047783,D047783,3,0.0,39.666666666666664,22.97
V025037,D025037,1,0.0,65.0,33.97
V022777,D022777,3,188.9,34.0,20.663333333333334
V012693,D012693,2,0.0,20.0,22.479999999999997
V039496,D039496,1,38.82,54.0,6.81
V048540,D048540,2,56.94,17.0,9.605
V007323,D007323,2,0.0,31.5,21.189999999999998
V036028,D036028,1,24.66,44.0,4.81
V007695,D007695,2,31.06,57.0,1.31
V040787,D040787,3,102.24,15.333333333333334,27.776666666666667
V008697,D008697,2,32.15,20.0,8.655
V048938,D048938,1,0.0,8.0,10.23
V039838,D039838,1,0.0,51.0,8.83
V017767,D017767,1,21.27,39.0,4.34
V047526,D047526,1,0.0,17.0,22.98
V000824,D000824,3,188.7,43.666666666666664,11.5
V042164,D042164,1,31.91,11.0,12.66
V010739,D010739,3,298.45,16.333333333333332,30.379999999999995
V026797,D026797,3,150.24,16.0,20.21
V033721,D033721,6,186.22,25.666666666666668,16.531666666666666
V027526,D027526,2,0.0,48.0,24.515
V016686,D016686,1,0.0,59.0,9.16
V027662,D027662,3,52.11,37.333333333333336,27.179999999999996
V023978,D023978,4,92.28,17.75,17.137500000000003
V003008,D003008,4,60.150000000000006,24.25,12.1
V025367,D025367,1,45.72,50.0,18.73
V015304,D015304,6,152.26,40.666666666666664,7.555
V026189,D026189,2,0.0,43.5,19.035
V020571,D020571,4,247.42000000000002,41.5,16.560000000000002
V039096,D039096,3,191.32000000000002,23.666666666666668,24.649999999999995
V045995,D045995,3,116.46000000000001,33.0,23.066666666666663
V027102,D027102,4,206.38,29.5,22.349999999999998
V047506,D047506,1,0.0,57.0,27.02
V008999,D008999,1,0.0,36.0,23.16
V018873,D018873,2,111.64000000000001,52.0,23.36
V005475,D005475,8,206.81,31.5,15.57375
V003667,D003667,2,60.74,27.5,19.085
V018447,D018447,7,279.66,48.857142857142854,23.90142857142857
V025083,D025083,1,58.52,22.0,29.98
V047338,D047338,2,40.28,28.0,8.34
V017108,D017108,1,0.0,30.0,21.7
V033780,D033780,2,71.85,17.5,22.66
V025922,D025922,1,0.0,45.0,28.98
V029081,D029081,1,0.0,50.0,16.28
V029849,D029849,2,94.1,30.5,30.1
V038293,D038293,2,24.43,39.5,16.525
V038392,D038392,2,46.94,57.5,20.634999999999998
V006739,D006739,1,0.0,56.0,11.68
V044448,D044448,1,71.73,62.0,17.7
V043304,D043304,6,193.69,42.5,15.076666666666668
V026008,D026008,3,63.69,37.666666666666664,12.736666666666666
V041268,D041268,3,44.43,34.333333333333336,15.57
V048089,D048089,3,132.79,16.666666666666668,21.7
V009428,D009428,4,201.2,44.25,15.3975
V005091,D005091,4,81.61,42.75,14.737499999999999
V039717,D039717,4,190.64,59.25,11.93
V022650,D022650,2,131.7,10.0,29.48
V033735,D033735,1,0.0,21.0,30.05
V002609,D002609,3,86.74,32.333333333333336,18.53
V023221,D023221,2,0.0,27.5,15.41
V014114,D014114,2,0.0,22.0,28.759999999999998
V008015,D008015,3,53.6,35.333333333333336,8.790000000000001
V022677,D022677,7,449.65999999999997,49.285714285714285,19.695714285714285
V024678,D024678,2,103.91,23.0,17.974999999999998
V026924,D026924,3,98.97,48.0,24.59
V026769,D026769,1,0.0,16.0,1.72
V019771,D019771,2,0.0,49.0,19.53
V004367,D004367,2,76.42,7.0,20.18
V037301,D037301,2,21.06,5.0,2.49
V042614,D042614,3,136.32,50.333333333333336,30.55666666666667
V042061,D042061,2,0.0,36.0,21.865000000000002
V036780,D036780,1,0.0,48.0,19.76
V047655,D047655,4,105.41000000000001,42.25,12.7225
V034311,D034311,6,280.53999999999996,26.666666666666668,23.421666666666667
V002575,D002575,4,150.84,50.0,9.7925
V029050,D029050,2,27.15,32.5,11.7
V048232,D048232,1,30.21,5.0,13.71
V047332,D047332,4,127.89000000000001,62.0,10.77
V034305,D034305,2,0.0,26.5,29.950000000000003
V046738,D046738,1,0.0,14.0,23.36
V029446,D029446,1,0.0,23.0,16.85
V015977,D015977,2,0.0,44.5,24.884999999999998
V037547,D037547,1,123.64,53.0,30.16
V020370,D020370,1,42.3,40.0,10.01
V033571,D033571,1,0.0,6.0,34.75
V039288,D039288,1,0.0,55.0,26.45
V035587,D035587,3,175.04,35.333333333333336,21.543333333333333
V038094,D038094,3,274.96999999999997,19.333333333333332,24.736666666666668
V033393,D033393,7,254.41,36.857142857142854,23.065714285714286
V016485,D016485,1,0.0,17.0,11.09
V023081,D023081,2,101.46,55.0,29.12
V048692,D048692,2,144.7,41.0,22.955
V023763,D023763,4,61.97,42.0,15.215
V042686,D042686,4,191.85000000000002,17.5,27.56
V012031,D012031,4,38.23,15.5,10.844999999999999
V030463,D030463,1,0.0,27.0,7.59
V013409,D013409,4,96.78999999999999,35.0,21.339999999999996
V007868,D007868,4,84.48,33.0,8.0325
V006601,D006601,3,82.47,23.0,6.669999999999999
V031988,D031988,1,41.85,18.0,17.54
V014301,D014301,2,48.97,33.0,17.93
V041913,D041913,2,0.0,64.5,9.77
V034142,D034142,1,0.0,53.0,6.22
V003634,D003634,7,94.6,26.857142857142858,8.95
V020507,D020507,1,0.0,8.0,12.59
V017207,D017207,2,137.16,17.5,28.165
V030136,D030136,2,53.3,45.5,18.66
V032137,D032137,3,109.16,41.0,24.873333333333335
V031734,D031734,3,80.24,46.0,28.83
V042018,D042018,1,27.1,23.0,6.23
V000758,D000758,6,496.15000000000003,41.5,26.735000000000003
V018618,D018618,1,0.0,30.0,28.44
V019221,D019221,3,216.92000000000002,48.0,32.96
V008537,D008537,2,101.93,46.0,18.785
V005207,D005207,2,0.0,42.0,12.26
V009710,D009710,1,0.0,33.0,32.35
V028804,D028804,2,193.41,29.5,28.39
V026368,D026368,3,0.0,40.0,26.400000000000002
V008368,D008368,1,0.0,6.0,26.38
V042624,D042624,3,149.34,44.0,26.566666666666663
V016486,D016486,3,105.3,44.666666666666664,15.826666666666666
V026715,D026715,1,0.0,12.0,28.57
V028623,D028623,1,43.95,42.0,14.88
V017629,D017629,3,116.92,33.333333333333336,18.92
V044145,D044145,1,0.0,23.0,30.33
V008959,D008959,1,22.3,16.0,5.9
V044735,D044735,1,0.0,32.0,4.94
V008902,D008902,1,19.73,19.0,3.48
V021070,D021070,2,68.5,43.0,9.09
V036445,D036445,1,0.0,62.0,24.55
V022723,D022723,3,46.72,31.666666666666668,25.383333333333336
V045627,D045627,1,53.65,39.0,25.56
V048475,D048475,1,0.0,33.0,9.9
V020735,D020735,1,67.62,45.0,24.44
V030059,D030059,1,102.78,50.0,30.99
V047540,D047540,2,169.75,45.0,27.915
V038863,D038863,3,78.7,44.666666666666664,10.316666666666668
V019000,D019000,1,0.0,31.0,14.39
V018077,D018077,4,81.9,15.5,6.220000000000001
V024345,D024345,1,0.0,64.0,6.82
V035404,D035404,1,52.48,9.0,11.93
V025219,D025219,4,134.60000000000002,26.5,18.9675
V024423,D024423,2,0.0,23.5,11.355
V043487,D043487,3,116.72,49.333333333333336,23.813333333333333
V033455,D033455,3,40.68,43.333333333333336,5.886666666666667
V018360,D018360,1,53.79,57.0,20.56
V014054,D014054,3,160.11,6.333333333333333,28.813333333333333
V025958,D025958,3,62.839999999999996,37.333333333333336,7.473333333333334
V038488,D038488,1,42.71,17.0,18.88
V044692,D044692,2,110.69,46.0,11.135
V022164,D022164,2,46.2,50.0,17.46
V034594,D034594,2,0.0,32.0,7.105
V019572,D019572,5,220.01000000000002,14.0,17.636
V022967,D022967,1,0.0,34.0,21.53
V005175,D005175,1,0.0,14.0,20.4
V048464,D048464,3,33.64,20.666666666666668,6.543333333333334
V023879,D023879,5,286.88,50.0,21.058
V048728,D048728,1,106.24,50.0,28.8
V043733,D043733,3,0.0,27.666666666666668,14.523333333333332
V030020,D030020,2,38.37,41.5,12.46
V021120,D021120,2,80.39,48.5,20.235
V008541,D008541,1,0.0,42.0,3.94
V014734,D014734,3,222.06,51.0,21.05333333333333
V042994,D042994,4,67.67999999999999,43.5,8.8975
V036112,D036112,1,0.0,51.0,25.58
V020728,D020728,2,134.53,34.0,21.415
V040720,D040720,2,125.86,44.0,23.42
V044880,D044880,1,63.65,61.0,24.05
V035964,D035964,4,130.53,40.5,17.1
V044172,D044172,2,27.82,34.5,15.219999999999999
V008991,D008991,4,219.72,44.0,28.5375
V042324,D042324,3,18.89,39.0,19.669999999999998
V008592,D008592,5,240.46000000000004,31.0,22.692
V039201,D039201,2,88.36,6.0,14.45
V007129,D007129,2,0.0,45.0,25.89
V022042,D022042,1,66.63,44.0,27.21
V027993,D027993,3,46.84,48.333333333333336,23.126666666666665
V030247,D030247,5,37.92,33.4,15.868
V044683,D044683,1,0.0,22.0,16.7
V013775,D013775,2,84.2,33.0,19.78
V031569,D031569,1,0.0,44.0,6.99
V035652,D035652,1,0.0,52.0,19.03
V038926,D038926,5,169.17000000000002,29.6,10.004
V002316,D002316,1,81.54,6.0,30.29
V015519,D015519,3,117.6,34.666666666666664,23.236666666666668
V014154,D014154,2,97.12,37.5,21.305
V003614,D003614,2,23.14,37.5,16.92
V005317,D005317,1,67.03,33.0,27.54
V022313,D022313,2,25.92,17.0,13.865
V006497,D006497,2,40.07,46.5,12.535
V044481,D044481,3,51.69,22.0,14.74
V038208,D038208,3,34.82,44.333333333333336,17.47
V017299,D017299,2,140.28,46.0,30.83
V035057,D035057,3,78.41,45.333333333333336,11.023333333333333
V027198,D027198,2,117.61000000000001,45.5,21.15
V006113,D006113,3,0.0,38.333333333333336,20.296666666666667
V017537,D017537,1,0.0,18.0,28.89
V040433,D040433,2,37.04,30.0,25.265
V010794,D010794,1,0.0,32.0,26.09
V026427,D026427,4,111.98,22.75,16.8525
V006035,D006035,5,225.38000000000002,49.0,20.65
V023468,D023468,1,54.15,12.0,26.19
V032621,D032621,1,53.75,20.0,14.82
V042541,D042541,7,192.33999999999997,40.857142857142854,3.5957142857142856
V019218,D019218,2,0.0,46.0,2.74
V010856,D010856,4,129.77,25.0,17.64
V001990,D001990,3,98.41,43.333333333333336,17.483333333333334
V013176,D013176,3,147.03,51.0,17.453333333333333
V021790,D021790,3,123.07,23.333333333333332,17.08
V026513,D026513,3,47.02,46.666666666666664,18.823333333333334
V004859,D004859,1,0.0,45.0,8.22
V041274,D041274,1,0.0,12.0,8.89
V014893,D014893,5,223.07000000000002,24.2,20.157999999999998
V036304,D036304,2,59.9,27.5,20.265
V026505,D026505,2,42.76,26.5,12.879999999999999
V015300,D015300,3,52.64,14.0,12.206666666666669
V011282,D011282,4,136.25,47.25,18.16
V013968,D013968,1,49.49,6.0,23.0
V024687,D024687,2,30.35,38.0,17.43
V000638,D000638,2,67.1,55.0,3.53
V012608,D012608,8,271.83,35.75,15.991249999999997
V011290,D011290,3,57.61,20.666666666666668,23.976666666666663
V040789,D040789,1,0.0,32.0,18.92
V018755,D018755,3,138.32,15.666666666666666,30.070000000000004
V006256,D006256,1,48.3,21.0,11.7
V003004,D003004,2,147.38,17.0,34.5
V024181,D024181,1,0.0,59.0,3.74
V038157,D038157,1,0.0,30.0,6.51
V031447,D031447,2,61.3,34.0,18.174999999999997
V015347,D015347,3,130.29,36.0,10.87
V013451,D013451,7,408.19000000000005,39.57142857142857,14.341428571428569
V013653,D013653,3,41.32,12.0,6.226666666666667
V019407,D019407,1,0.0,28.0,5.11
V010948,D010948,3,123.82000000000002,23.333333333333332,21.05
V013108,D013108,4,137.25,46.5,10.4575
V024932,D024932,7,261.88,45.0,23.30142857142857
V040829,D040829,3,110.94,21.666666666666668,30.220000000000002
V028061,D028061,2,0.0,43.5,10.23
V041194,D041194,1,0.0,5.0,28.0
V049444,D049444,1,27.62,24.0,6.11
V004432,D004432,4,67.15,39.0,2.82
V016706,D016706,2,58.57,24.5,10.44
V023897,D023897,1,30.75,22.0,6.82
V007630,D007630,1,31.67,28.0,4.61
