rider_id,total_trips,total_spend_usd,avg_trip_fare_usd,first_trip_date,last_trip_date
R0019072,3,160.26,53.419999999999995,2025-06-12,2025-06-12
R0001821,2,54.2,47.695,2023-07-10,2025-07-01
R0019022,3,95.42,49.57333333333333,2021-09-26,2022-04-10
R0055838,2,59.4,29.7,2021-07-10,2021-07-10
R0073000,1,46.44,46.44,2020-02-12,2020-02-12
R0069345,3,266.1,88.7,2021-07-25,2021-07-25
R0022914,1,55.6,55.6,2022-04-15,2022-04-15
R0065491,4,211.23,69.5625,2021-07-10,2025-11-07
R0014914,2,74.24,37.12,2021-11-18,2025-04-08
R0029172,2,181.88,90.94,2020-03-09,2020-03-09
R0054511,2,87.98,43.99,2022-11-03,2022-11-03
R0052332,4,164.12,52.8,2021-10-26,2025-04-20
R0065628,3,205.62,68.54,2022-05-11,2022-05-11
R0019213,1,0.0,69.37,2023-10-24,2023-10-24
R0043816,4,183.19,63.7025,2022-05-07,2024-05-24
R0070191,1,51.61,51.61,2020-04-17,2020-04-17
R0065400,3,110.62,46.35,2022-03-12,2025-11-07
R0042517,1,61.78,61.78,2024-03-15,2024-03-15
R0033017,4,169.22,53.4025,2020-03-22,2022-09-20
R0028711,4,154.95,58.114999999999995,2023-07-27,2025-02-20
R0014091,3,188.7,85.21666666666667,2021-07-26,2024-01-02
R0030295,3,80.78,53.370000000000005,2020-06-01,2025-06-19
R0035644,4,215.68,53.92,2021-02-05,2022-10-02
R0068932,2,71.23,35.615,2022-06-23,2025-02-25
R0055444,2,182.9,91.45,2021-04-21,2021-04-21
R0014425,3,179.64,72.06333333333333,2021-01-01,2024-01-03
R0005274,1,52.09,52.09,2025-02-21,2025-02-21
R0025705,1,84.62,84.62,2022-09-19,2022-09-19
R0041564,2,103.76,51.88,2020-04-17,2020-10-09
R0061557,1,0.0,83.64,2023-07-12,2023-07-12
R0017473,1,64.79,64.79,2024-05-23,2024-05-23
R0002141,2,116.74,58.37,2024-05-16,2024-05-16
R0013517,3,130.76,58.62,2023-04-19,2024-10-09
R0039703,6,295.91,64.93333333333334,2023-06-10,2025-02-27
R0013631,5,150.10000000000002,37.408,2022-04-07,2024-07-25
R0018425,1,23.22,23.22,2020-01-09,2020-01-09
R0025653,1,48.95,48.95,2024-01-11,2024-01-11
R0000189,2,45.23,36.695,2020-10-27,2021-04-06
R0072973,3,0.0,57.71333333333333,2021-03-04,2025-08-24
R0064871,1,28.82,28.82,2021-10-23,2021-10-23
R0004806,6,205.51,50.153333333333336,2022-01-20,2025-02-10
R0023339,6,273.07,52.42666666666667,2021-02-27,2024-10-14
R0035748,4,126.34,41.4025,2020-07-27,2025-12-28
R0008466,4,141.71,35.4275,2020-08-04,2021-04-08
R0030426,4,138.63,41.552499999999995,2022-05-26,2022-06-04
R0017078,1,42.25,42.25,2022-12-11,2022-12-11
R0008670,2,44.16,43.185,2020-12-22,2025-10-21
R0034540,4,373.4,93.35,2022-06-27,2022-06-27
R0040781,1,75.54,75.54,2024-02-02,2024-02-02
R0056283,2,34.76,17.38,2021-07-13,2021-07-13
R0064388,2,49.76,51.885,2022-02-28,2024-09-02
R0006581,3,174.44,58.14666666666667,2022-01-18,2023-01-13
R0053339,5,214.5,53.251999999999995,2024-03-21,2024-06-26
R0010011,5,174.84,34.968,2020-11-10,2024-10-02
R0048261,3,118.4,56.26333333333334,2022-03-07,2024-08-11
R0017072,2,78.35,51.059999999999995,2021-03-21,2021-04-09
R0003620,2,54.57,47.364999999999995,2021-09-12,2023-07-27
R0010856,1,70.46,70.46,2023-10-09,2023-10-09
R0034833,4,130.07,45.30499999999999,2020-10-24,2023-11-06
R0001390,2,41.68,20.84,2022-01-02,2022-01-02
R0038282,4,161.4,40.35,2021-09-25,2021-09-25
R0003969,2,36.14,54.485,2022-07-15,2025-03-28
R0041621,5,178.48,41.279999999999994,2020-06-16,2024-02-28
R0003511,1,21.84,21.84,2023-04-23,2023-04-23
R0061964,1,24.84,24.84,2021-09-13,2021-09-13
R0007036,2,21.66,30.395000000000003,2021-10-01,2025-04-10
R0020265,3,126.36,42.12,2021-01-12,2024-04-20
R0062200,6,472.46,91.375,2020-10-26,2025-07-10
R0066868,1,29.46,29.46,2023-02-19,2023-02-19
R0007387,3,189.57,63.19,2023-05-05,2023-05-05
R0008576,3,152.13,50.71,2023-07-06,2023-07-06
R0003646,2,171.08,85.54,2023-04-06,2023-04-06
R0032912,3,97.94999999999999,32.65,2024-05-05,2024-05-05
R0010194,5,67.56,32.572,2021-10-19,2024-01-18
R0027335,3,122.89,40.96333333333333,2022-01-08,2024-03-12
R0004197,4,347.12,86.78,2023-01-01,2025-01-19
R0063102,1,89.6,89.6,2022-10-08,2022-10-08
R0073645,1,67.41,67.41,2024-09-01,2024-09-01
R0047099,1,0.0,38.95,2020-03-07,2020-03-07
R0025199,4,124.60000000000001,52.917500000000004,2020-05-26,2024-12-20
R0058982,2,42.44,21.22,2020-12-13,2020-12-13
R0067658,2,185.64,92.82,2022-01-15,2022-01-15
R0049061,1,49.43,49.43,2023-07-08,2023-07-08
R0003503,3,112.32,63.35333333333333,2021-08-07,2023-07-03
R0016733,3,204.2,74.16333333333333,2020-09-21,2024-11-04
R0044979,1,36.65,36.65,2020-12-18,2020-12-18
R0067136,3,216.12,83.90666666666667,2021-11-12,2024-05-01
R0056767,1,107.76,107.76,2022-06-05,2022-06-05
R0036253,4,59.36,21.1475,2020-04-15,2024-08-22
R0071571,8,347.97999999999996,51.32375,2020-01-08,2025-03-24
R0007501,1,121.78,121.78,2021-12-09,2021-12-09
R0067145,2,126.48,63.24,2024-05-28,2024-05-28
R0033477,3,114.25,38.083333333333336,2021-01-14,2021-05-07
R0038747,2,83.4,41.7,2023-08-28,2023-08-28
R0031186,3,120.53999999999999,53.14666666666667,2020-11-26,2025-09-22
R0006725,3,31.48,45.76,2024-10-02,2024-10-15
R0005055,1,57.25,57.25,2023-12-15,2023-12-15
R0062670,2,134.23000000000002,67.11500000000001,2024-07-10,2025-06-07
R0028085,3,64.0,44.52,2023-01-24,2024-08-15
R0009166,1,28.0,28.0,2025-09-06,2025-09-06
R0035975,2,43.55,32.01,2023-04-16,2025-12-08
R0021573,1,58.38,58.38,2021-12-02,2021-12-02
R0030234,1,39.96,39.96,2020-06-20,2020-06-20
R0056758,4,118.08,52.075,2021-05-12,2023-04-26
R0002085,4,79.68,19.92,2021-06-02,2021-06-02
R0003699,7,286.43999999999994,54.005714285714284,2021-01-21,2023-10-17
R0026089,4,109.81,27.4525,2021-05-06,2025-05-08
R0053565,2,23.4,23.4,2022-02-21,2022-02-21
R0001082,1,117.77,117.77,2021-07-10,2021-07-10
R0059166,1,89.73,89.73,2024-10-25,2024-10-25
R0012814,1,58.76,58.76,2025-09-09,2025-09-09
R0050585,1,18.98,18.98,2020-07-19,2020-07-19
R0062740,4,250.47000000000003,62.61750000000001,2021-07-23,2025-05-14
R0033002,2,122.48,61.24,2021-10-20,2025-03-27
R0048413,1,65.06,65.06,2021-04-19,2021-04-19
R0022251,5,250.63,50.126,2021-11-04,2024-12-12
R0066591,4,155.92,50.489999999999995,2021-07-13,2025-07-17
R0051329,2,130.13,65.065,2022-09-18,2024-03-10
R0009878,3,119.48,47.28,2025-09-05,2025-12-16
R0007690,2,89.32,44.66,2023-05-05,2023-05-05
R0011971,2,67.1,76.85,2023-02-13,2024-04-28
R0005700,3,78.79,66.82666666666667,2021-11-21,2025-09-24
R0072024,2,54.6,54.6,2023-05-07,2023-05-07
R0050968,1,71.24,71.24,2023-06-16,2023-06-16
R0004350,3,175.6,58.53333333333333,2020-10-17,2021-11-03
R0022566,2,62.43,71.11,2022-04-13,2022-06-10
R0034611,2,138.59,69.295,2020-07-16,2021-09-21
R0017911,2,56.43,43.635,2021-08-03,2022-04-21
R0065862,2,42.38,48.730000000000004,2021-06-26,2024-02-20
R0059097,1,131.55,131.55,2023-06-15,2023-06-15
R0072923,2,35.24,35.24,2023-10-04,2023-10-04
R0071396,7,361.66,51.66571428571429,2021-07-05,2021-08-24
R0010410,2,50.55,49.355,2022-08-26,2024-10-07
R0038015,3,88.18,55.32333333333333,2020-05-05,2025-03-02
R0013638,2,73.22,36.61,2021-12-15,2021-12-15
R0025285,2,56.9,28.45,2020-02-25,2020-02-25
R0025713,3,89.6,51.60666666666666,2020-02-28,2025-07-16
R0049549,1,29.78,29.78,2023-11-02,2023-11-02
R0055296,4,68.4,47.7525,2020-06-02,2025-04-24
R0054239,3,79.29,74.88666666666667,2020-02-26,2024-07-19
R0045696,1,127.78,127.78,2022-11-05,2022-11-05
R0059970,4,115.67,55.2,2021-08-14,2025-02-10
R0048289,3,69.26,28.643333333333334,2020-04-14,2023-11-28
R0016705,1,94.84,94.84,2022-09-25,2022-09-25
R0023761,3,132.01,44.00333333333333,2020-05-08,2021-02-03
R0018728,2,133.31,66.655,2021-11-15,2023-03-02
R0073165,1,44.29,44.29,2023-05-01,2023-05-01
R0053520,2,70.3,35.15,2025-12-23,2025-12-23
R0069219,2,68.9,47.865,2021-04-10,2022-12-18
R0012369,2,100.2,50.1,2020-06-10,2020-06-10
R0014646,1,24.79,24.79,2020-06-19,2020-06-19
R0015293,1,88.6,88.6,2021-04-11,2021-04-11
R0054470,3,153.56,67.49,2024-05-17,2025-06-11
R0043062,1,68.6,68.6,2022-12-15,2022-12-15
R0058080,2,19.34,9.67,2020-11-11,2020-11-11
R0008204,1,64.5,64.5,2020-03-28,2020-03-28
R0038982,3,147.93,49.31,2023-06-20,2023-06-20
R0023709,3,101.12,101.12,2022-09-09,2022-09-09
R0020677,4,192.91,54.575,2024-04-04,2025-03-18
R0019323,2,105.27,52.635,2023-05-14,2024-01-28
R0059573,1,58.53,58.53,2020-03-24,2020-03-24
R0018045,2,86.47,43.235,2021-04-27,2021-06-18
R0057106,3,72.21,67.52333333333333,2021-12-06,2024-03-09
R0026879,2,63.73,61.474999999999994,2022-06-18,2024-05-20
R0017898,2,215.34,107.67,2023-07-18,2023-07-18
R0048462,2,0.0,54.89,2022-08-23,2025-12-12
R0051622,3,67.86,22.62,2023-03-21,2023-03-21
R0042321,1,48.94,48.94,2025-08-25,2025-08-25
R0044507,2,77.84,38.92,2022-05-19,2022-05-19
R0012574,2,31.8,34.795,2020-02-22,2025-01-08
R0060468,2,48.99,74.24,2023-09-09,2025-03-17
R0047595,1,74.4,74.4,2023-09-14,2023-09-14
R0027678,5,235.77,47.154,2020-07-28,2021-10-24
R0004949,2,37.85,40.225,2022-09-18,2023-03-18
R0065780,1,31.28,31.28,2023-03-08,2023-03-08
R0005587,1,41.21,41.21,2023-03-17,2023-03-17
R0015468,1,48.44,48.44,2023-10-12,2023-10-12
R0042996,1,33.65,33.65,2023-04-04,2023-04-04
R0002531,3,111.86,54.85999999999999,2020-11-22,2025-03-10
R0041113,4,180.18,57.07,2021-05-28,2024-07-05
R0022946,2,46.44,36.68,2021-08-01,2025-10-02
R0042246,2,71.08,35.54,2023-11-09,2023-11-09
R0034327,1,21.46,21.46,2025-07-15,2025-07-15
R0002804,1,49.86,49.86,2020-10-13,2020-10-13
R0039108,2,53.32,26.66,2020-04-28,2020-04-28
R0010044,4,362.58,90.645,2023-10-19,2024-08-01
R0006587,1,37.49,37.49,2024-04-14,2024-04-14
R0012293,2,49.78,56.455,2024-01-28,2024-04-10
R0058504,3,57.52,24.89,2022-02-07,2022-05-19
R0065985,3,164.57999999999998,54.85999999999999,2022-11-14,2022-11-14
R0030051,2,28.31,33.2,2021-12-13,2024-01-24
R0042750,3,106.88,52.43,2020-06-27,2024-01-19
R0038482,3,71.62,65.84,2020-12-09,2022-02-27
R0071821,2,157.56,78.78,2022-08-12,2022-08-12
R0046421,1,59.55,59.55,2024-08-22,2024-08-22
R0038266,2,46.96,23.48,2024-10-23,2024-10-23
R0043859,1,21.07,21.07,2025-09-21,2025-09-21
R0012192,2,28.72,25.125,2021-12-07,2023-05-27
R0014566,2,76.56,38.28,2025-12-09,2025-12-09
R0035940,3,226.92000000000002,75.64,2020-12-11,2022-09-22
R0013100,1,68.47,68.47,2025-07-28,2025-07-28
R0003047,2,48.87,46.53,2020-04-02,2023-07-15
R0070785,1,57.07,57.07,2021-03-26,2021-03-26
R0008901,1,69.86,69.86,2021-11-18,2021-11-18
R0013046,1,53.04,53.04,2021-05-08,2021-05-08
R0018216,1,18.91,18.91,2021-06-06,2021-06-06
R0047344,2,45.24,22.62,2024-11-08,2024-11-08
R0041559,2,136.5,68.25,2020-03-20,2020-03-20
R0047623,3,131.31,43.77,2023-06-20,2023-06-20
R0042799,2,43.81,43.465,2021-04-09,2024-11-17
R0003564,2,51.64,25.82,2025-05-13,2025-05-13
R0022379,1,79.0,79.0,2020-11-10,2020-11-10
R0061768,3,176.16,58.72,2021-02-24,2021-02-24
R0055268,1,55.49,55.49,2020-04-25,2020-04-25
R0068961,2,86.72,43.36,2020-04-22,2020-04-22
R0068959,5,185.96,48.406,2020-03-15,2025-08-24
R0002061,2,80.96,40.48,2022-03-13,2022-03-13
R0060703,1,59.58,59.58,2025-11-25,2025-11-25
R0018418,2,163.14,81.57,2020-12-01,2020-12-01
R0056100,2,43.8,34.555,2022-02-09,2025-12-03
R0038252,2,48.16,24.08,2025-07-01,2025-12-14
R0073648,1,47.7,47.7,2020-09-13,2020-09-13
R0068174,2,62.07,31.035,2022-02-12,2022-08-11
R0004868,5,206.04000000000002,73.95400000000001,2020-08-12,2021-02-13
R0037683,5,219.44,54.465999999999994,2025-04-19,2025-10-23
R0052197,3,108.12,36.04,2021-03-04,2021-03-04
R0023786,1,48.61,48.61,2020-09-24,2020-09-24
R0040474,1,40.99,40.99,2024-11-01,2024-11-01
R0006404,2,85.48,42.74,2022-03-10,2025-06-20
R0030457,3,106.97,46.553333333333335,2022-08-21,2024-10-22
R0028187,4,69.42,42.1225,2021-10-23,2025-08-27
R0027435,3,193.64999999999998,64.55,2022-09-18,2022-09-18
R0042406,2,43.92,52.57,2021-07-19,2025-10-09
R0042647,1,56.19,56.19,2025-12-06,2025-12-06
R0016890,4,118.86000000000001,29.715000000000003,2024-06-23,2025-07-11
R0060616,2,91.4,45.7,2025-07-24,2025-07-24
R0009935,1,147.11,147.11,2021-05-21,2021-05-21
R0049552,2,156.36,78.18,2023-11-12,2024-07-23
R0023886,1,47.46,47.46,2022-05-11,2022-05-11
R0062351,1,60.3,60.3,2025-02-04,2025-02-04
R0045331,1,30.51,30.51,2021-04-01,2021-04-01
R0001736,2,48.5,45.09,2020-03-12,2025-08-01
R0056995,2,49.05,53.535,2024-05-26,2025-12-16
R0037952,3,163.07,54.35666666666666,2023-12-07,2024-04-07
R0038827,1,25.28,25.28,2020-11-03,2020-11-03
R0052679,2,87.66,43.83,2021-08-17,2021-08-17
R0030847,2,103.18,51.59,2022-04-13,2022-04-13
R0006941,2,103.9,51.95,2020-10-08,2020-10-08
R0034850,4,145.6,36.4,2025-01-20,2025-01-20
R0018404,2,109.37,61.99,2022-03-17,2024-07-05
R0036340,1,44.51,44.51,2020-02-26,2020-02-26
R0056166,3,67.22,44.21666666666667,2022-04-05,2022-11-15
R0039563,2,94.26,47.13,2020-01-27,2020-01-27
R0026636,4,145.04999999999998,36.262499999999996,2021-04-19,2025-03-14
R0010978,3,109.64999999999999,36.55,2022-04-19,2022-04-19
R0051109,4,239.44,59.86,2022-04-07,2025-11-12
R0052025,3,98.91,32.97,2023-12-09,2023-12-09
R0067549,1,85.79,85.79,2021-01-01,2021-01-01
R0023143,1,48.65,48.65,2020-12-25,2020-12-25
R0017053,2,86.68,43.34,2022-10-11,2022-10-11
R0044117,2,79.0,39.5,2021-01-07,2021-01-07
R0032333,1,71.91,71.91,2023-04-09,2023-04-09
R0061816,1,61.88,61.88,2021-09-12,2021-09-12
R0011078,1,44.6,44.6,2023-12-12,2023-12-12
R0035967,2,124.24,62.12,2020-03-20,2020-03-20
R0046064,3,166.64999999999998,55.54999999999999,2020-08-13,2025-05-28
R0072243,2,149.2,74.6,2020-05-09,2020-05-09
R0027148,1,18.21,18.21,2024-03-21,2024-03-21
R0028979,2,40.1,20.05,2023-12-03,2023-12-03
R0056927,1,90.71,90.71,2020-07-26,2020-07-26
R0070824,3,132.31,44.10333333333333,2021-02-19,2025-06-14
R0027902,3,81.32000000000001,27.10666666666667,2022-11-07,2024-07-03
R0052890,1,9.56,9.56,2024-09-09,2024-09-09
R0046403,1,54.69,54.69,2020-03-22,2020-03-22
R0053048,2,81.76,81.76,2025-08-18,2025-08-18
R0039120,1,59.9,59.9,2025-03-11,2025-03-11
R0017566,1,25.37,25.37,2025-12-16,2025-12-16
R0067076,1,52.15,52.15,2020-09-10,2020-09-10
R0063516,6,323.46,53.91,2020-10-12,2024-12-03
R0003125,3,215.60999999999999,71.86999999999999,2021-02-15,2022-05-24
R0062207,2,64.08,32.04,2021-01-01,2021-01-01
R0059083,1,39.28,39.28,2025-08-27,2025-08-27
R0071237,2,101.12,50.56,2025-04-25,2025-04-25
R0056618,1,26.81,26.81,2024-05-18,2024-05-18
R0061323,1,67.41,67.41,2025-04-01,2025-04-01
R0074613,1,50.46,50.46,2021-01-11,2021-01-11
R0028869,1,99.53,99.53,2023-05-11,2023-05-11
R0037857,4,96.50999999999999,45.925,2022-03-22,2023-11-17
R0033642,3,112.58,47.02333333333333,2024-05-03,2025-11-26
R0044788,1,45.11,45.11,2021-07-02,2021-07-02
R0054818,2,59.08,50.72,2022-06-05,2023-04-08
R0011074,2,56.39,38.68,2024-07-26,2024-08-19
R0018371,3,110.92,54.129999999999995,2021-12-15,2022-07-05
R0041480,1,71.99,71.99,2025-03-25,2025-03-25
R0043592,5,255.76999999999998,77.98799999999999,2020-09-20,2022-05-22
R0068301,1,30.45,30.45,2022-02-22,2022-02-22
R0025895,1,71.73,71.73,2023-11-07,2023-11-07
R0074319,1,33.75,33.75,2022-05-21,2022-05-21
R0049926,4,119.37,44.215,2023-02-14,2025-02-10
R0065433,2,117.32,58.66,2024-01-25,2024-01-25
R0019666,1,29.73,29.73,2022-04-18,2022-04-18
R0005491,5,269.11,53.822,2020-09-04,2025-05-22
R0066382,2,61.26,48.849999999999994,2021-02-04,2023-01-16
R0028579,1,25.89,25.89,2021-06-24,2021-06-24
R0043964,4,140.07999999999998,53.144999999999996,2020-12-08,2025-08-12
R0011973,2,76.42,38.21,2023-08-07,2023-08-07
R0056629,1,94.14,94.14,2023-03-16,2023-03-16
R0006425,4,178.68,44.67,2024-07-25,2024-07-25
R0074611,1,39.26,39.26,2020-01-13,2020-01-13
R0033119,2,67.62,88.92500000000001,2022-01-23,2025-02-22
R0024824,2,79.98,39.99,2021-09-06,2021-09-06
R0018141,1,38.59,38.59,2022-05-19,2022-05-19
R0027967,4,45.45,36.6175,2022-12-18,2025-10-18
R0030745,3,0.0,46.78333333333333,2022-12-05,2024-10-21
R0059698,3,96.50999999999999,44.35333333333333,2022-09-26,2024-05-13
R0036712,3,90.27,30.09,2021-02-12,2021-12-13
R0067916,3,114.38999999999999,38.129999999999995,2021-07-11,2023-05-25
R0056953,1,64.24,64.24,2020-02-19,2020-02-19
R0000634,3,97.28,48.64000000000001,2022-04-28,2022-04-28
R0058174,1,77.42,77.42,2021-06-27,2021-06-27
R0066424,1,37.35,37.35,2022-09-10,2022-09-10
R0046498,7,305.52,69.89142857142856,2020-01-01,2025-02-21
R0047747,2,42.65,46.085,2021-01-18,2022-03-04
R0003572,4,371.32000000000005,92.83000000000001,2022-08-06,2023-07-20
R0008514,4,209.14,52.285,2020-10-20,2025-09-23
R0071418,2,113.06,56.53,2024-06-06,2024-06-06
R0009873,3,28.68,36.07666666666666,2020-08-03,2025-09-17
R0018771,1,42.53,42.53,2024-02-06,2024-02-06
R0056391,1,57.37,57.37,2024-12-25,2024-12-25
R0073234,2,64.52,32.26,2020-05-01,2020-05-01
R0054573,3,53.61,49.43000000000001,2020-08-01,2022-12-06
R0067787,1,33.46,33.46,2023-11-08,2023-11-08
R0061656,3,129.4,52.076666666666675,2022-12-11,2023-03-26
R0037470,1,34.96,34.96,2024-10-20,2024-10-20
R0043927,3,94.86,54.303333333333335,2021-03-24,2022-05-23
R0057195,2,45.53,62.09,2022-11-24,2023-09-27
R0068169,3,35.85,74.36666666666667,2022-10-08,2025-12-04
R0025431,2,0.0,68.295,2020-08-20,2021-05-14
R0049204,3,143.53,47.843333333333334,2023-08-22,2025-12-01
R0019708,3,129.8,56.43666666666667,2020-11-06,2025-01-12
R0016777,2,64.25,51.269999999999996,2021-03-07,2024-06-22
R0024034,1,33.06,33.06,2024-03-01,2024-03-01
R0041463,2,13.84,37.735,2020-05-19,2025-03-21
R0059045,1,23.64,23.64,2020-12-18,2020-12-18
R0053175,2,102.77,51.385,2023-07-15,2024-04-18
R0045618,4,189.92,70.175,2021-03-04,2023-06-05
R0074772,3,185.73,61.91,2025-11-18,2025-11-18
R0008737,1,28.33,28.33,2023-08-15,2023-08-15
R0074957,2,110.52,55.26,2022-03-03,2022-03-03
R0069050,2,54.39,65.675,2025-03-21,2025-05-02
R0026306,1,62.53,62.53,2024-06-19,2024-06-19
R0039881,2,91.82,45.91,2023-05-04,2023-05-04
R0006021,2,81.68,40.84,2022-07-16,2022-07-16
R0011026,3,84.2,37.71666666666667,2020-06-17,2023-07-27
R0043443,3,54.46,28.51,2022-05-12,2023-09-06
R0041198,1,94.93,94.93,2023-06-22,2023-06-22
R0042498,1,60.93,60.93,2023-01-22,2023-01-22
R0002179,6,296.89,67.86166666666666,2023-12-10,2025-04-14
R0064571,3,86.15,28.71666666666667,2021-07-21,2024-06-19
R0070419,4,184.07999999999998,50.1725,2024-07-25,2025-10-16
R0074439,5,142.92,40.202,2020-01-11,2023-08-25
R0058947,2,122.55,61.275,2023-01-26,2025-01-16
R0018568,3,134.67000000000002,44.89000000000001,2021-01-19,2022-09-11
R0051838,2,67.7,54.06,2023-07-28,2025-05-21
R0014165,2,40.38,45.495000000000005,2024-06-05,2025-08-25
R0035493,3,208.65,69.55,2024-11-11,2025-07-08
R0062281,2,35.85,34.435,2025-01-23,2025-10-13
